order_id,order_date,product_name,category,quantity,unit_price,total_amount,customer_type,department,doctor_name,manufacturer,batch_number,expiry_date,payment_method,discount_rate,sales_rep,region,notes
ORD20220817000000,2022-08-17,阿奇霉素片,抗生素,5,44.28,214.76,个人,肿瘤科,医生55,制药厂3,B2022082535,2025-07-09,医保,0.97,代表8,北京市丰台区,
ORD20230212000001,2023-02-12,匹多莫德口服液,免疫调节药物,19,149.2,2636.36,个人,心血管科,医生44,制药厂18,B2022404527,2024-02-18,自费,0.93,代表4,北京市朝阳区,
ORD20240106000002,2024-01-06,利巴韦林片,抗病毒药物,2,128.67,249.62,个人,心血管科,医生11,制药厂36,B2022766925,2026-07-08,商业保险,0.97,代表7,北京市朝阳区,
ORD20230412000003,2023-04-12,右旋糖酐铁片,血液系统药物,8,147.93,1171.61,机构,呼吸科,医生82,制药厂24,B2022427065,2025-05-05,自费,0.99,代表7,北京市东城区,
ORD20220527000004,2022-05-27,肾上腺素注射液,急救药品,8,116.15,854.86,机构,消化科,医生29,制药厂44,B2022841916,2024-06-18,医保,0.92,代表27,北京市朝阳区,
ORD20240401000005,2024-04-01,谷维素片,神经系统药物,19,39.54,743.75,个人,呼吸科,医生51,制药厂42,B2023183340,2026-02-17,自费,0.99,代表5,北京市海淀区,
ORD20230623000006,2023-06-23,匹多莫德口服液,免疫调节药物,13,454.02,5548.12,机构,外科,医生97,制药厂4,B2022293504,2024-11-10,商业保险,0.94,代表6,北京市西城区,
ORD20240228000007,2024-02-28,鱼肝油,维生素,18,28.81,513.39,个人,消化科,医生97,制药厂18,B2023976573,2025-03-10,医保,0.99,代表10,北京市西城区,
ORD20220107000008,2022-01-07,左旋咪唑片,免疫调节药物,6,487.35,2777.89,机构,消化科,医生78,制药厂13,B2022407126,2023-04-25,医保,0.95,代表18,北京市丰台区,
ORD20231026000009,2023-10-26,感冒清热颗粒,中成药,12,25.66,304.84,个人,内科,医生31,制药厂37,B2022212403,2025-09-04,商业保险,0.99,代表16,北京市朝阳区,
ORD20241226000010,2024-12-26,维生素K1注射液,血液系统药物,16,27.97,443.04,机构,消化科,医生78,制药厂28,B2022559835,2026-06-13,商业保险,0.99,代表23,北京市海淀区,
ORD20240328000011,2024-03-28,吉非替尼片,抗肿瘤药物,17,247.15,3991.47,个人,外科,医生44,制药厂2,B2023514770,2025-12-06,商业保险,0.95,代表8,北京市朝阳区,
ORD20220501000012,2022-05-01,氨溴索口服液,呼吸系统药物,11,136.76,1368.97,机构,呼吸科,医生28,制药厂35,B2022348744,2023-12-30,医保,0.91,代表26,北京市西城区,
ORD20230125000013,2023-01-25,硝苯地平缓释片,心血管药物,12,102.26,1153.49,个人,外科,医生8,制药厂26,B2023876559,2025-05-17,医保,0.94,代表8,北京市海淀区,
ORD20240707000014,2024-07-07,复方消化酶胶囊,消化系统药物,15,35.69,492.52,机构,消化科,医生13,制药厂4,B2023679856,2025-09-22,医保,0.92,代表3,北京市海淀区,
ORD20240921000015,2024-09-21,板蓝根颗粒,中成药,2,131.05,241.13,机构,骨科,医生59,制药厂19,B2023098973,2025-09-23,医保,0.92,代表7,北京市东城区,
ORD20220430000016,2022-04-30,硝酸甘油片,急救药品,2,154.64,281.44,个人,内科,医生66,制药厂6,B2022482122,2024-08-30,商业保险,0.91,代表3,北京市海淀区,
ORD20230520000017,2023-05-20,硝酸甘油片,急救药品,14,131.49,1785.63,机构,骨科,医生27,制药厂43,B2023846147,2025-12-18,医保,0.97,代表9,北京市西城区,
ORD20230907000018,2023-09-07,藿香正气水,中成药,3,140.06,378.16,个人,外科,医生69,制药厂14,B2023305345,2026-06-04,医保,0.9,代表30,北京市东城区,
ORD20230516000019,2023-05-16,甲状腺片,内分泌药物,18,32.08,560.12,个人,消化科,医生39,制药厂43,B2022273200,2026-01-31,自费,0.97,代表4,北京市朝阳区,
ORD20221115000020,2022-11-15,加巴喷丁胶囊,神经系统药物,11,94.68,958.16,机构,消化科,医生63,制药厂17,B2022142512,2025-08-25,商业保险,0.92,代表14,北京市东城区,
